"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"178",18,35,48,10,24,31,5,14,21,-0.0413052054521308,-0.00504779594269927,0.189129770375314,0.823726190823213,0.0575782035747429,"female","1",7
"179",16,23,39,7,11,24,5,7,16,0.0406606678775125,0.518889806368496,-1.30502505190387,-0.706893708635163,0.240010115616431,NA,"4",6
"182",21,42,25,12,27,15,8,19,13,0.569490315689364,-0.176454469015421,0.281943126846971,0.41485405851151,0.120153264023046,"female","3",1
"183",23,50,54,9,31,34,7,24,24,0.364575632365256,-0.102433188337107,-0.686972227951329,0.664991136493981,0.604873939699808,"male","4",2
"184",25,49,33,14,30,19,9,21,12,1.76861562522453,0.189722988846116,-0.0893102990396566,-0.00748467993539193,1.21474473627318,"male","3",3
"185",30,35,34,17,21,19,10,13,13,0.264092555118617,0.518889806368496,-0.109701194080522,1.02816225697906,0.912455972638104,"male","3",2
"188",24,32,53,14,21,34,9,13,23,-1.19944757832247,-0.0420584362818562,-0.800176479463852,-0.76606132659698,-0.614867653446929,"male","3",9
"189",24,39,53,13,27,31,7,18,21,0.487524442359721,0.98245265662444,-0.408532158536358,-0.139286521994227,0.114859994719824,"male","4",11
"191",13,51,49,7,30,31,5,21,20,-1.60532841613986,0.32411902157968,-3.55082784468897,-1.58380559122039,-2.14219127953196,"female","3",9
"192",24,39,52,10,24,32,6,17,21,-0.346702966022878,-0.565996038593051,1.21921781029621,0.124317162123443,0.114859994719824,"female","2",5
"193",30,48,47,19,29,29,12,19,19,-2.5400389017691,-1.06656952918815,-0.336109697105567,-1.84740927533806,-1.09958832912369,"male","4",10
"195",29,34,49,18,20,29,10,14,20,-1.11748170499283,-0.0420584362818562,-1.13978923400142,-1.2341010768705,-0.614867653446929,"male","2",5
"196",25,48,58,14,29,35,9,20,24,0.141143745124152,1.21423408175241,0.920386845840375,1.23259832313492,-0.312578889811856,"male","4",10
"197",29,34,37,17,20,24,10,12,16,0.792922202930468,0.287108381240524,1.19882691525535,1.02816225697906,1.88719059329485,"male","4",4
"198",18,54,47,9,35,27,6,24,18,0.751939266265646,1.31161947414682,0.395147378359494,0.269585610317476,-0.552292592998626,NA,"2",9
"199",32,46,52,21,28,31,14,21,21,-0.100805346033948,0.0553269561125515,-0.501345515008015,-0.00748467993539193,0.975031033086407,"female","4",7
"200",24,50,54,13,31,31,9,20,19,1.2807689140775,1.54340089927479,0.508351629872016,0.19695138622046,0.724730791293193,"female","3",11
"203",31,43,41,20,25,25,12,16,16,1.23978597741268,1.07983804901885,1.6108621312237,0.328753228279294,1.21474473627318,"male","3",10
"204",31,36,42,19,23,25,11,15,16,-0.976015691081368,0.189722988846116,-1.11939833896055,-1.16146685277348,0.114859994719824,"male","3",8
"205",34,36,53,18,22,34,12,15,22,-0.670617930510621,-0.273839861409828,0.00350305743200036,0.41485405851151,-0.0675719173218641,"male","3",9
"207",26,48,48,16,30,30,10,19,20,0.223109618453795,0.98245265662444,0.714369237856195,0.269585610317476,0.8498809121898,"female","4",9
"209",28,28,49,18,19,32,11,12,20,-0.834549677169908,1.17722344141325,-3.13879262872062,-2.95569043634953,0.240010115616431,"male","3",11
"210",36,40,40,23,24,25,16,16,17,-0.670617930510621,-0.176454469015421,-1.41822930341639,-0.343722588150078,0.667449000148112,"male","4",10
"215",30,48,41,21,28,24,13,19,16,-0.935032754416547,-1.6275177718385,-1.75784205795396,-0.402890206111896,0.730024060596415,"male","4",7
"216",19,42,31,12,24,19,8,18,13,-1.19944757832247,-0.0420584362818562,-2.03628212736893,-0.752594720461781,-0.0049968568735606,"male","4",9
"217",30,37,35,17,22,20,10,16,14,0.528507379024542,-0.0420584362818562,-0.408532158536358,-0.620792878402947,1.21474473627318,"male","3",9
