"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank","percentage"
"180",NA,NA,NA,15,19,20,9,12,14,0.616954358386058,0.203636550010444,0.58183353781332,0.238154396509063,-0.492863404386375,"male",26,0,10
"181",NA,NA,NA,7,25,22,4,17,14,0.616954358386058,1.40021884173848,0.58183353781332,0.810974737966721,1.01590211924538,"female",27,4,10
"182",NA,NA,NA,21,22,28,14,12,20,1.06550015760923,1.40021884173848,0.95458653233554,1.95661542088204,0.345339664297936,"male",29,0,0
"183",NA,NA,NA,17,26,23,11,18,15,-0.0558643404487048,-0.0356799083351631,1.14096302959665,0.620034624147501,1.35118334671911,"female",28,1,0
"184",NA,NA,NA,15,16,9,7,11,6,0.392681458774471,0.682269466701658,-0.722801943014451,-2.05312696932157,-1.83398831428127,"female",51,1,100
"185",NA,NA,NA,20,25,21,13,16,14,-0.728683039283468,-0.0356799083351631,0.95458653233554,0.620034624147501,0.345339664297936,"male",32,6,0
"188",NA,NA,NA,16,18,22,9,12,17,-0.280137240060293,-0.514312825026377,0.39545704055221,1.00191485178594,0.512980278034798,"male",38,5,0
"190",NA,NA,NA,21,19,22,13,13,15,-0.728683039283468,-1.2322622000632,-0.16367245123112,-0.143725831129376,-0.492863404386375,"male",58,10,20
"192",NA,NA,NA,16,27,29,9,17,19,0.392681458774471,0.682269466701658,0.95458653233554,0.620034624147501,1.35118334671911,"male",32,10,0
"193",NA,NA,NA,9,19,9,7,13,6,0.392681458774471,0.442953008356051,-1.84106092658111,-2.62594731077923,-2.33691015549186,"female",33,3,0
"194",NA,NA,NA,13,22,24,9,14,17,-1.85004753734141,-1.95021157510002,-0.909178440275561,-1.09842640022547,0.177699050561074,"female",24,1,0
"195",NA,NA,NA,13,32,24,9,20,16,1.51404595683241,1.40021884173848,2.0728455159022,2.14755553470126,1.35118334671911,"male",31,2,20
"196",NA,NA,NA,16,24,19,11,16,13,0.841227257997646,0.682269466701658,0.2090805432911,-0.143725831129376,-0.492863404386375,"female",40,1,30
"197",NA,NA,NA,15,21,28,9,13,19,0.168408559162883,0.682269466701658,1.32733952685776,1.19285496560516,1.35118334671911,"female",41,1,0
"198",NA,NA,NA,21,27,27,12,18,19,0.168408559162883,-0.27499636668077,0.2090805432911,0.238154396509063,0.345339664297936,"female",37,2,20
"199",NA,NA,NA,9,16,11,6,10,7,0.616954358386058,0.682269466701658,-2.02743742384222,-1.67124674168313,-1.83398831428127,"female",32,1,0
"200",NA,NA,NA,15,19,23,9,11,16,1.06550015760923,1.87885175842969,-0.350048948492231,0.0472142826898431,0.512980278034798,"female",55,1,50
"201",NA,NA,NA,16,26,26,10,17,17,-0.0558643404487048,0.442953008356051,0.58183353781332,1.19285496560516,1.01590211924538,"male",44,5,0
"202",NA,NA,NA,11,31,22,8,21,15,1.738318856444,2.1181682167753,0.0227040460299897,1.00191485178594,0.848261505508522,"female",27,1,50
"203",NA,NA,NA,22,30,30,13,20,20,0.392681458774471,0.442953008356051,0.95458653233554,0.238154396509063,1.18354273298225,"male",36,10,0
"204",NA,NA,NA,10,23,23,5,14,15,1.06550015760923,1.40021884173848,-1.28193143479778,-1.67124674168313,-1.83398831428127,"female",49,3,50
"205",NA,NA,NA,9,24,24,4,16,16,-0.952955938895056,-2.18952803344563,-1.09555493753667,-1.67124674168313,-1.33106647307069,"male",26,5,0
"206",NA,NA,NA,14,17,26,8,9,16,0.841227257997646,-0.992945741717592,-0.350048948492231,0.429094510328282,0.0100584368242115,"male",45,9,100
"208",NA,NA,NA,21,33,18,13,22,12,-0.280137240060293,-0.514312825026377,0.0227040460299897,-0.143725831129376,-0.660504018123237,"male",36,6,0
"209",NA,NA,NA,14,27,23,8,19,16,0.616954358386058,-0.514312825026377,0.58183353781332,-0.143725831129376,-0.660504018123237,"female",32,1,10
"211",NA,NA,NA,7,26,22,4,17,16,1.738318856444,0.921585925047265,2.44559851042442,1.95661542088204,1.51882396045597,"female",46,1,10
"212",NA,NA,NA,16,32,23,11,21,16,-0.50441013967188,-0.514312825026377,0.58183353781332,1.00191485178594,2.02174580166656,"female",30,1,0
"213",NA,NA,NA,6,20,22,4,11,15,0.392681458774471,1.63953530008409,0.0227040460299897,0.429094510328282,0.177699050561074,"female",37,1,0
"214",NA,NA,NA,11,11,12,7,5,8,1.28977305722082,0.921585925047265,-1.84106092658111,-2.62594731077923,-2.33691015549186,"female",34,6,0
"215",NA,NA,NA,6,16,16,4,9,9,0.392681458774471,0.442953008356051,-0.722801943014451,-0.525606058767815,-0.325222790649513,"male",48,11,0
"216",NA,NA,NA,14,23,20,8,14,14,-0.728683039283468,-0.753629283371985,0.39545704055221,-0.334665944948596,0.0100584368242115,"female",23,1,0
"217",NA,NA,NA,10,21,13,6,15,10,0.841227257997646,0.921585925047265,-2.77294341288666,-3.00782753841767,-2.33691015549186,"male",23,1,100
"218",NA,NA,NA,15,20,24,9,12,16,-0.280137240060293,-1.47157865840881,-0.16367245123112,0.0472142826898431,0.512980278034798,"female",50,2,50
"219",NA,NA,NA,19,22,31,11,15,21,-0.728683039283468,-0.0356799083351631,0.76821003507443,-0.143725831129376,0.0100584368242115,"male",31,7,20
"220",NA,NA,NA,21,21,25,12,14,16,-0.0558643404487048,0.203636550010444,0.39545704055221,-1.28936651404469,0.177699050561074,"female",29,6,0
"221",NA,NA,NA,19,19,15,12,12,10,-0.50441013967188,-0.753629283371985,-0.536425445753341,1.19285496560516,0.0100584368242115,"male",44,0,0
"223",NA,NA,NA,8,20,19,4,13,13,0.616954358386058,-1.47157865840881,-0.536425445753341,0.0472142826898431,-1.66634770054441,"female",46,2,10
"224",NA,NA,NA,6,20,28,4,13,18,-0.728683039283468,-1.2322622000632,-0.16367245123112,-0.334665944948596,0.345339664297936,"male",54,9,0
"225",NA,NA,NA,8,19,22,4,13,15,-0.280137240060293,2.1181682167753,-0.350048948492231,-2.05312696932157,-0.828144631860099,"male",53,6,0
"226",NA,NA,NA,22,21,28,13,15,19,0.616954358386058,-0.992945741717592,-2.58656691562555,1.00191485178594,0.848261505508522,"female",37,5,0
"227",NA,NA,NA,18,22,26,11,12,17,-0.280137240060293,-0.992945741717592,0.39545704055221,0.620034624147501,-0.157582176912651,"female",31,7,0
"228",NA,NA,NA,6,22,27,4,13,18,0.168408559162883,-0.514312825026377,-0.350048948492231,0.238154396509063,-0.492863404386375,"female",38,1,0
"229",NA,NA,NA,18,21,24,12,12,16,-1.17722883850664,-0.27499636668077,-0.722801943014451,-0.143725831129376,-0.995785245596961,"male",61,6,20
"230",NA,NA,NA,16,25,23,9,16,16,0.392681458774471,-0.514312825026377,1.14096302959665,0.620034624147501,1.68646457419283,"female",48,7,30
"231",NA,NA,NA,14,14,19,7,9,12,1.06550015760923,1.63953530008409,-1.84106092658111,-2.05312696932157,-0.995785245596961,"male",46,9,100
"232",NA,NA,NA,14,24,23,8,15,15,-0.728683039283468,-0.514312825026377,-0.350048948492231,-0.525606058767815,0.177699050561074,"female",22,1,20
"233",NA,NA,NA,25,28,22,18,19,15,-0.50441013967188,-0.753629283371985,0.58183353781332,1.00191485178594,0.0100584368242115,"female",31,4,0
"234",NA,NA,NA,7,19,20,4,13,13,-0.952955938895056,1.40021884173848,-1.09555493753667,-0.716546172587034,0.848261505508522,"female",34,7,0
